Location in Wind Tunnel,LocationMaizeDes,Clock,Date,Treatment,Repetition,Treatment Left,Treatment Right,Responding,Comment,Video Save Time,Determination via Video
End,End,8/13/2023 23:16:40,6/14/2023,Control,B5,Maize,Maize,Yes,-,20230614_210106,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 11:33:23,6/14/2023,Control,B6,Maize,Maize,Yes,-,20230614_211443,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 11:33:24,6/14/2023,Control,B6,Maize,Maize,Yes,-,20230614_211443,Yes
Close Right (10cm-30cm),Close Right (10cm-30cm),4/18/2024 11:33:33,6/14/2023,Control,B6,Maize,Maize,Yes,-,20230614_211443,Yes
Right (30cm-50cm),Right (30cm-50cm),4/18/2024 11:33:37,6/14/2023,Control,B6,Maize,Maize,Yes,-,20230614_211443,Yes
Close Right (10cm-30cm),Close Right (10cm-30cm),4/18/2024 11:33:42,6/14/2023,Control,B6,Maize,Maize,Yes,-,20230614_211443,Yes
End,End,4/18/2024 11:38:30,6/14/2023,Control,B6,Maize,Maize,Yes,-,20230614_211443,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),8/14/2023 14:19:48,6/14/2023,Intortum,B1,Maize + D. intortum,Maize,Yes,Moth was used for two times 5 min and inserted newly after noticing that one of the tubings was lose,20230614_224516,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),8/14/2023 14:19:51,6/14/2023,Intortum,B1,Maize + D. intortum,Maize,Yes,Moth was used for two times 5 min and inserted newly after noticing that one of the tubings was lose,20230614_224516,Yes
Right (30cm-50cm),Maize (30cm-50cm),8/14/2023 14:19:54,6/14/2023,Intortum,B1,Maize + D. intortum,Maize,Yes,Moth was used for two times 5 min and inserted newly after noticing that one of the tubings was lose,20230614_224516,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),8/14/2023 14:19:59,6/14/2023,Intortum,B1,Maize + D. intortum,Maize,Yes,Moth was used for two times 5 min and inserted newly after noticing that one of the tubings was lose,20230614_224516,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 14:20:05,6/14/2023,Intortum,B1,Maize + D. intortum,Maize,Yes,Moth was used for two times 5 min and inserted newly after noticing that one of the tubings was lose,20230614_224516,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),8/14/2023 14:20:05,6/14/2023,Intortum,B1,Maize + D. intortum,Maize,Yes,Moth was used for two times 5 min and inserted newly after noticing that one of the tubings was lose,20230614_224516,Yes
End,End,8/14/2023 14:24:58,6/14/2023,Intortum,B1,Maize + D. intortum,Maize,Yes,Moth was used for two times 5 min and inserted newly after noticing that one of the tubings was lose,20230614_224516,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 14:28:16,6/14/2023,Intortum,B2,Maize + D. intortum,Maize,Yes,-,20230614_230123,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 14:28:17,6/14/2023,Intortum,B2,Maize + D. intortum,Maize,Yes,-,20230614_230123,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),8/14/2023 14:28:20,6/14/2023,Intortum,B2,Maize + D. intortum,Maize,Yes,-,20230614_230123,Yes
Right (30cm-50cm),Maize (30cm-50cm),8/14/2023 14:28:21,6/14/2023,Intortum,B2,Maize + D. intortum,Maize,Yes,-,20230614_230123,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 14:28:26,6/14/2023,Intortum,B2,Maize + D. intortum,Maize,Yes,-,20230614_230123,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),8/14/2023 14:28:27,6/14/2023,Intortum,B2,Maize + D. intortum,Maize,Yes,-,20230614_230123,Yes
End,End,8/14/2023 14:33:50,6/14/2023,Intortum,B2,Maize + D. intortum,Maize,Yes,-,20230614_230123,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 11:44:47,6/14/2023,Intortum,B3,Maize + D. intortum,Maize,Yes,-,20230614_232002,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 11:44:49,6/14/2023,Intortum,B3,Maize + D. intortum,Maize,Yes,-,20230614_232002,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),4/18/2024 11:45:10,6/14/2023,Intortum,B3,Maize + D. intortum,Maize,Yes,-,20230614_232002,Yes
Left (30cm-50cm),Des (30cm-50cm),4/18/2024 11:45:11,6/14/2023,Intortum,B3,Maize + D. intortum,Maize,Yes,-,20230614_232002,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),4/18/2024 11:45:13,6/14/2023,Intortum,B3,Maize + D. intortum,Maize,Yes,-,20230614_232002,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 11:45:16,6/14/2023,Intortum,B3,Maize + D. intortum,Maize,Yes,-,20230614_232002,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),4/18/2024 11:45:19,6/14/2023,Intortum,B3,Maize + D. intortum,Maize,Yes,-,20230614_232002,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 11:45:22,6/14/2023,Intortum,B3,Maize + D. intortum,Maize,Yes,-,20230614_232002,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),4/18/2024 11:45:24,6/14/2023,Intortum,B3,Maize + D. intortum,Maize,Yes,-,20230614_232002,Yes
Right (30cm-50cm),Maize (30cm-50cm),4/18/2024 11:45:24,6/14/2023,Intortum,B3,Maize + D. intortum,Maize,Yes,-,20230614_232002,Yes
End,End,4/18/2024 11:50:06,6/14/2023,Intortum,B3,Maize + D. intortum,Maize,Yes,-,20230614_232002,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 11:50:32,6/14/2023,Incanum,B1,Maize,Maize + D. incanum,Yes,No take-off. Moth was observed mating earlier in the night.,20230614_235516,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 11:50:33,6/14/2023,Incanum,B1,Maize,Maize + D. incanum,Yes,No take-off. Moth was observed mating earlier in the night.,20230614_235516,Yes
End,End,4/18/2024 11:56:00,6/14/2023,Incanum,B1,Maize,Maize + D. incanum,Yes,No take-off. Moth was observed mating earlier in the night.,20230614_235516,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/13/2023 23:20:57,6/14/2023,Incanum,B2,Maize,Maize + D. incanum,Yes,-,20230615_001047,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/13/2023 23:20:57,6/14/2023,Incanum,B2,Maize,Maize + D. incanum,Yes,-,20230615_001047,Yes
Close Right (10cm-30cm),Close Des (10cm-30cm),8/13/2023 23:22:21,6/14/2023,Incanum,B2,Maize,Maize + D. incanum,Yes,-,20230615_001047,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/13/2023 23:22:22,6/14/2023,Incanum,B2,Maize,Maize + D. incanum,Yes,-,20230615_001047,Yes
Close Right (10cm-30cm),Close Des (10cm-30cm),8/13/2023 23:22:24,6/14/2023,Incanum,B2,Maize,Maize + D. incanum,Yes,-,20230615_001047,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/13/2023 23:22:26,6/14/2023,Incanum,B2,Maize,Maize + D. incanum,Yes,-,20230615_001047,Yes
Close Left (10cm-30cm),Close Maize (10cm-30cm),8/13/2023 23:24:10,6/14/2023,Incanum,B2,Maize,Maize + D. incanum,Yes,-,20230615_001047,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/13/2023 23:24:31,6/14/2023,Incanum,B2,Maize,Maize + D. incanum,Yes,-,20230615_001047,Yes
Close Left (10cm-30cm),Close Maize (10cm-30cm),8/13/2023 23:24:34,6/14/2023,Incanum,B2,Maize,Maize + D. incanum,Yes,-,20230615_001047,Yes
Left (30cm-50cm),Maize (30cm-50cm),8/13/2023 23:25:00,6/14/2023,Incanum,B2,Maize,Maize + D. incanum,Yes,-,20230615_001047,Yes
Close Left (10cm-30cm),Close Maize (10cm-30cm),8/13/2023 23:25:20,6/14/2023,Incanum,B2,Maize,Maize + D. incanum,Yes,-,20230615_001047,Yes
Left (30cm-50cm),Maize (30cm-50cm),8/13/2023 23:25:29,6/14/2023,Incanum,B2,Maize,Maize + D. incanum,Yes,-,20230615_001047,Yes
End,End,8/13/2023 23:26:02,6/14/2023,Incanum,B2,Maize,Maize + D. incanum,Yes,-,20230615_001047,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 14:38:54,6/14/2023,Incanum,B3,Maize,Maize + D. incanum,Yes,-,20230615_002710,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 14:38:55,6/14/2023,Incanum,B3,Maize,Maize + D. incanum,Yes,-,20230615_002710,Yes
Close Left (10cm-30cm),Close Maize (10cm-30cm),8/14/2023 14:38:56,6/14/2023,Incanum,B3,Maize,Maize + D. incanum,Yes,-,20230615_002710,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 14:38:59,6/14/2023,Incanum,B3,Maize,Maize + D. incanum,Yes,-,20230615_002710,Yes
Close Right (10cm-30cm),Close Des (10cm-30cm),8/14/2023 14:39:02,6/14/2023,Incanum,B3,Maize,Maize + D. incanum,Yes,-,20230615_002710,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 14:39:03,6/14/2023,Incanum,B3,Maize,Maize + D. incanum,Yes,-,20230615_002710,Yes
End,End,8/14/2023 14:44:00,6/14/2023,Incanum,B3,Maize,Maize + D. incanum,Yes,-,20230615_002710,Yes
Middle (10cm-10cm),Middle (10cm-10cm),6/16/2023 20:23:01,6/16/2023,Intortum,B4,Maize,Maize + D. intortum,Yes,No take-off. Video was started after the video was started.,20230616_202252,No
Middle (10cm-10cm),Middle (10cm-10cm),6/16/2023 20:23:05,6/16/2023,Intortum,B4,Maize,Maize + D. intortum,Yes,No take-off. Video was started after the video was started.,20230616_202252,No
Middle (10cm-10cm),Middle (10cm-10cm),6/16/2023 20:23:11,6/16/2023,Intortum,B4,Maize,Maize + D. intortum,Yes,No take-off. Video was started after the video was started.,20230616_202252,No
Close Left (10cm-30cm),Close Maize (10cm-30cm),6/16/2023 20:23:12,6/16/2023,Intortum,B4,Maize,Maize + D. intortum,Yes,No take-off. Video was started after the video was started.,20230616_202252,No
End,End,6/16/2023 20:28:59,6/16/2023,Intortum,B4,Maize,Maize + D. intortum,Yes,No take-off. Video was started after the video was started.,20230616_202252,No
Middle (10cm-10cm),Middle (10cm-10cm),11/8/2023 15:56:06,6/16/2023,Intortum,B5,Maize,Maize + D. intortum,Yes,-,20230616_203906,Yes
Middle (10cm-10cm),Middle (10cm-10cm),11/8/2023 15:56:08,6/16/2023,Intortum,B5,Maize,Maize + D. intortum,Yes,-,20230616_203906,Yes
End,End,11/8/2023 16:01:07,6/16/2023,Intortum,B5,Maize,Maize + D. intortum,Yes,-,20230616_203906,Yes
Middle (10cm-10cm),Middle (10cm-10cm),6/16/2023 21:11:23,6/16/2023,Intortum,B6,Maize,Maize + D. intortum,Yes,"The trial had to be repeated with the same moth as a teflontubing (coming from one plant) connected with windtunnel fell out. Afterwards, the moth was removed and a second trial with the same moth was started.",No matching video found,No
Middle (10cm-10cm),Middle (10cm-10cm),6/16/2023 21:11:24,6/16/2023,Intortum,B6,Maize,Maize + D. intortum,Yes,"The trial had to be repeated with the same moth as a teflontubing (coming from one plant) connected with windtunnel fell out. Afterwards, the moth was removed and a second trial with the same moth was started.",No matching video found,No
Close Left (10cm-30cm),Close Maize (10cm-30cm),6/16/2023 21:11:42,6/16/2023,Intortum,B6,Maize,Maize + D. intortum,Yes,"The trial had to be repeated with the same moth as a teflontubing (coming from one plant) connected with windtunnel fell out. Afterwards, the moth was removed and a second trial with the same moth was started.",No matching video found,No
Middle (10cm-10cm),Middle (10cm-10cm),6/16/2023 21:11:43,6/16/2023,Intortum,B6,Maize,Maize + D. intortum,Yes,"The trial had to be repeated with the same moth as a teflontubing (coming from one plant) connected with windtunnel fell out. Afterwards, the moth was removed and a second trial with the same moth was started.",No matching video found,No
Close Right (10cm-30cm),Close Des (10cm-30cm),6/16/2023 21:11:55,6/16/2023,Intortum,B6,Maize,Maize + D. intortum,Yes,"The trial had to be repeated with the same moth as a teflontubing (coming from one plant) connected with windtunnel fell out. Afterwards, the moth was removed and a second trial with the same moth was started.",No matching video found,No
Middle (10cm-10cm),Middle (10cm-10cm),6/16/2023 21:11:59,6/16/2023,Intortum,B6,Maize,Maize + D. intortum,Yes,"The trial had to be repeated with the same moth as a teflontubing (coming from one plant) connected with windtunnel fell out. Afterwards, the moth was removed and a second trial with the same moth was started.",No matching video found,No
Close Left (10cm-30cm),Close Maize (10cm-30cm),6/16/2023 21:12:03,6/16/2023,Intortum,B6,Maize,Maize + D. intortum,Yes,"The trial had to be repeated with the same moth as a teflontubing (coming from one plant) connected with windtunnel fell out. Afterwards, the moth was removed and a second trial with the same moth was started.",No matching video found,No
Left (30cm-50cm),Maize (30cm-50cm),6/16/2023 21:12:05,6/16/2023,Intortum,B6,Maize,Maize + D. intortum,Yes,"The trial had to be repeated with the same moth as a teflontubing (coming from one plant) connected with windtunnel fell out. Afterwards, the moth was removed and a second trial with the same moth was started.",No matching video found,No
Middle (10cm-10cm),Middle (10cm-10cm),6/16/2023 21:12:07,6/16/2023,Intortum,B6,Maize,Maize + D. intortum,Yes,"The trial had to be repeated with the same moth as a teflontubing (coming from one plant) connected with windtunnel fell out. Afterwards, the moth was removed and a second trial with the same moth was started.",No matching video found,No
Close Left (10cm-30cm),Close Maize (10cm-30cm),6/16/2023 21:12:08,6/16/2023,Intortum,B6,Maize,Maize + D. intortum,Yes,"The trial had to be repeated with the same moth as a teflontubing (coming from one plant) connected with windtunnel fell out. Afterwards, the moth was removed and a second trial with the same moth was started.",No matching video found,No
Left (30cm-50cm),Maize (30cm-50cm),6/16/2023 21:12:11,6/16/2023,Intortum,B6,Maize,Maize + D. intortum,Yes,"The trial had to be repeated with the same moth as a teflontubing (coming from one plant) connected with windtunnel fell out. Afterwards, the moth was removed and a second trial with the same moth was started.",No matching video found,No
Close Left (10cm-30cm),Close Maize (10cm-30cm),6/16/2023 21:12:30,6/16/2023,Intortum,B6,Maize,Maize + D. intortum,Yes,"The trial had to be repeated with the same moth as a teflontubing (coming from one plant) connected with windtunnel fell out. Afterwards, the moth was removed and a second trial with the same moth was started.",No matching video found,No
Middle (10cm-10cm),Middle (10cm-10cm),6/16/2023 21:12:48,6/16/2023,Intortum,B6,Maize,Maize + D. intortum,Yes,"The trial had to be repeated with the same moth as a teflontubing (coming from one plant) connected with windtunnel fell out. Afterwards, the moth was removed and a second trial with the same moth was started.",No matching video found,No
Close Right (10cm-30cm),Close Des (10cm-30cm),6/16/2023 21:12:51,6/16/2023,Intortum,B6,Maize,Maize + D. intortum,Yes,"The trial had to be repeated with the same moth as a teflontubing (coming from one plant) connected with windtunnel fell out. Afterwards, the moth was removed and a second trial with the same moth was started.",No matching video found,No
Right (30cm-50cm),Des (30cm-50cm),6/16/2023 21:12:53,6/16/2023,Intortum,B6,Maize,Maize + D. intortum,Yes,"The trial had to be repeated with the same moth as a teflontubing (coming from one plant) connected with windtunnel fell out. Afterwards, the moth was removed and a second trial with the same moth was started.",No matching video found,No
Close Right (10cm-30cm),Close Des (10cm-30cm),6/16/2023 21:13:06,6/16/2023,Intortum,B6,Maize,Maize + D. intortum,Yes,"The trial had to be repeated with the same moth as a teflontubing (coming from one plant) connected with windtunnel fell out. Afterwards, the moth was removed and a second trial with the same moth was started.",No matching video found,No
Right (30cm-50cm),Des (30cm-50cm),6/16/2023 21:13:20,6/16/2023,Intortum,B6,Maize,Maize + D. intortum,Yes,"The trial had to be repeated with the same moth as a teflontubing (coming from one plant) connected with windtunnel fell out. Afterwards, the moth was removed and a second trial with the same moth was started.",No matching video found,No
End,End,6/16/2023 21:16:01,6/16/2023,Intortum,B6,Maize,Maize + D. intortum,Yes,"The trial had to be repeated with the same moth as a teflontubing (coming from one plant) connected with windtunnel fell out. Afterwards, the moth was removed and a second trial with the same moth was started.",No matching video found,No
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 15:20:40,6/16/2023,Incanum,B4,Maize + D. incanum,Maize,Yes,Maize Plant L (with Desmodium) was damaged a little while wrapping,20230616_222354,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 15:20:41,6/16/2023,Incanum,B4,Maize + D. incanum,Maize,Yes,Maize Plant L (with Desmodium) was damaged a little while wrapping,20230616_222354,Yes
Close Right (10cm-30cm),Close Maize (10cm-30cm),8/14/2023 15:20:42,6/16/2023,Incanum,B4,Maize + D. incanum,Maize,Yes,Maize Plant L (with Desmodium) was damaged a little while wrapping,20230616_222354,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 15:20:46,6/16/2023,Incanum,B4,Maize + D. incanum,Maize,Yes,Maize Plant L (with Desmodium) was damaged a little while wrapping,20230616_222354,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),8/14/2023 15:20:47,6/16/2023,Incanum,B4,Maize + D. incanum,Maize,Yes,Maize Plant L (with Desmodium) was damaged a little while wrapping,20230616_222354,Yes
Left (30cm-50cm),Des (30cm-50cm),8/14/2023 15:20:49,6/16/2023,Incanum,B4,Maize + D. incanum,Maize,Yes,Maize Plant L (with Desmodium) was damaged a little while wrapping,20230616_222354,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),8/14/2023 15:21:34,6/16/2023,Incanum,B4,Maize + D. incanum,Maize,Yes,Maize Plant L (with Desmodium) was damaged a little while wrapping,20230616_222354,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 15:21:45,6/16/2023,Incanum,B4,Maize + D. incanum,Maize,Yes,Maize Plant L (with Desmodium) was damaged a little while wrapping,20230616_222354,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),8/14/2023 15:21:47,6/16/2023,Incanum,B4,Maize + D. incanum,Maize,Yes,Maize Plant L (with Desmodium) was damaged a little while wrapping,20230616_222354,Yes
Left (30cm-50cm),Des (30cm-50cm),8/14/2023 15:21:50,6/16/2023,Incanum,B4,Maize + D. incanum,Maize,Yes,Maize Plant L (with Desmodium) was damaged a little while wrapping,20230616_222354,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),8/14/2023 15:22:04,6/16/2023,Incanum,B4,Maize + D. incanum,Maize,Yes,Maize Plant L (with Desmodium) was damaged a little while wrapping,20230616_222354,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 15:22:05,6/16/2023,Incanum,B4,Maize + D. incanum,Maize,Yes,Maize Plant L (with Desmodium) was damaged a little while wrapping,20230616_222354,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),8/14/2023 15:22:12,6/16/2023,Incanum,B4,Maize + D. incanum,Maize,Yes,Maize Plant L (with Desmodium) was damaged a little while wrapping,20230616_222354,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 15:22:14,6/16/2023,Incanum,B4,Maize + D. incanum,Maize,Yes,Maize Plant L (with Desmodium) was damaged a little while wrapping,20230616_222354,Yes
Close Left (10cm-30cm),Close Des (10cm-30cm),8/14/2023 15:22:15,6/16/2023,Incanum,B4,Maize + D. incanum,Maize,Yes,Maize Plant L (with Desmodium) was damaged a little while wrapping,20230616_222354,Yes
Left (30cm-50cm),Des (30cm-50cm),8/14/2023 15:22:16,6/16/2023,Incanum,B4,Maize + D. incanum,Maize,Yes,Maize Plant L (with Desmodium) was damaged a little while wrapping,20230616_222354,Yes
End,End,8/14/2023 15:25:53,6/16/2023,Incanum,B4,Maize + D. incanum,Maize,Yes,Maize Plant L (with Desmodium) was damaged a little while wrapping,20230616_222354,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 12:19:14,6/16/2023,Incanum,B5,Maize + D. incanum,Maize,Yes,-,20230616_223934,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 12:19:16,6/16/2023,Incanum,B5,Maize + D. incanum,Maize,Yes,-,20230616_223934,Yes
Left (30cm-50cm),Des (30cm-50cm),4/18/2024 12:19:18,6/16/2023,Incanum,B5,Maize + D. incanum,Maize,Yes,-,20230616_223934,Yes
End,End,4/18/2024 12:24:38,6/16/2023,Incanum,B5,Maize + D. incanum,Maize,Yes,-,20230616_223934,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 12:25:29,6/16/2023,Incanum,B6,Maize + D. incanum,Maize,Yes,-,20230616_225705,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 12:25:30,6/16/2023,Incanum,B6,Maize + D. incanum,Maize,Yes,-,20230616_225705,Yes
Left (30cm-50cm),Des (30cm-50cm),4/18/2024 12:25:34,6/16/2023,Incanum,B6,Maize + D. incanum,Maize,Yes,-,20230616_225705,Yes
End,End,4/18/2024 12:30:31,6/16/2023,Incanum,B6,Maize + D. incanum,Maize,Yes,-,20230616_225705,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 12:31:24,6/16/2023,Control,B8,Maize,Maize,Yes,This female has been observed mating earlier in the evening.,20230617_000605,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 12:31:24,6/16/2023,Control,B8,Maize,Maize,Yes,This female has been observed mating earlier in the evening.,20230617_000605,Yes
Close Left (10cm-30cm),Close Left (10cm-30cm),4/18/2024 12:31:27,6/16/2023,Control,B8,Maize,Maize,Yes,This female has been observed mating earlier in the evening.,20230617_000605,Yes
Left (30cm-50cm),Left (30cm-50cm),4/18/2024 12:31:29,6/16/2023,Control,B8,Maize,Maize,Yes,This female has been observed mating earlier in the evening.,20230617_000605,Yes
Close Left (10cm-30cm),Close Left (10cm-30cm),4/18/2024 12:32:44,6/16/2023,Control,B8,Maize,Maize,Yes,This female has been observed mating earlier in the evening.,20230617_000605,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 12:32:49,6/16/2023,Control,B8,Maize,Maize,Yes,This female has been observed mating earlier in the evening.,20230617_000605,Yes
Close Left (10cm-30cm),Close Left (10cm-30cm),4/18/2024 12:32:53,6/16/2023,Control,B8,Maize,Maize,Yes,This female has been observed mating earlier in the evening.,20230617_000605,Yes
Left (30cm-50cm),Left (30cm-50cm),4/18/2024 12:33:07,6/16/2023,Control,B8,Maize,Maize,Yes,This female has been observed mating earlier in the evening.,20230617_000605,Yes
Close Left (10cm-30cm),Close Left (10cm-30cm),4/18/2024 12:33:12,6/16/2023,Control,B8,Maize,Maize,Yes,This female has been observed mating earlier in the evening.,20230617_000605,Yes
Left (30cm-50cm),Left (30cm-50cm),4/18/2024 12:33:14,6/16/2023,Control,B8,Maize,Maize,Yes,This female has been observed mating earlier in the evening.,20230617_000605,Yes
Left (30cm-50cm),Left (30cm-50cm),4/18/2024 12:33:32,6/16/2023,Control,B8,Maize,Maize,Yes,This female has been observed mating earlier in the evening.,20230617_000605,Yes
Close Left (10cm-30cm),Close Left (10cm-30cm),4/18/2024 12:34:10,6/16/2023,Control,B8,Maize,Maize,Yes,This female has been observed mating earlier in the evening.,20230617_000605,Yes
Left (30cm-50cm),Left (30cm-50cm),4/18/2024 12:34:12,6/16/2023,Control,B8,Maize,Maize,Yes,This female has been observed mating earlier in the evening.,20230617_000605,Yes
Close Left (10cm-30cm),Close Left (10cm-30cm),4/18/2024 12:34:19,6/16/2023,Control,B8,Maize,Maize,Yes,This female has been observed mating earlier in the evening.,20230617_000605,Yes
Middle (10cm-10cm),Middle (10cm-10cm),4/18/2024 12:34:24,6/16/2023,Control,B8,Maize,Maize,Yes,This female has been observed mating earlier in the evening.,20230617_000605,Yes
End,End,4/18/2024 12:36:54,6/16/2023,Control,B8,Maize,Maize,Yes,This female has been observed mating earlier in the evening.,20230617_000605,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 16:58:29,6/17/2023,Control,B7,Maize,Maize,Yes,-,20230617_214333,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 16:58:30,6/17/2023,Control,B7,Maize,Maize,Yes,-,20230617_214333,Yes
Close Left (10cm-30cm),Close Left (10cm-30cm),8/14/2023 16:59:16,6/17/2023,Control,B7,Maize,Maize,Yes,-,20230617_214333,Yes
Left (30cm-50cm),Left (30cm-50cm),8/14/2023 16:59:16,6/17/2023,Control,B7,Maize,Maize,Yes,-,20230617_214333,Yes
Close Left (10cm-30cm),Close Left (10cm-30cm),8/14/2023 16:59:17,6/17/2023,Control,B7,Maize,Maize,Yes,-,20230617_214333,Yes
Middle (10cm-10cm),Middle (10cm-10cm),8/14/2023 16:59:19,6/17/2023,Control,B7,Maize,Maize,Yes,-,20230617_214333,Yes
Close Right (10cm-30cm),Close Right (10cm-30cm),8/14/2023 16:59:20,6/17/2023,Control,B7,Maize,Maize,Yes,-,20230617_214333,Yes
